City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hasaki,JP,36.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
3,Muyezerskiy,RU,29.21,light snow,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
5,Gushi,CN,38.23,scattered clouds,34.6425,109.5843,
13,Athens,GR,49.37,scattered clouds,37.9795,23.7162,Novotel Athenes
25,Dingli,MT,49.82,few clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
27,Nanortalik,GL,28.02,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
30,Albany,US,24.75,overcast clouds,42.6001,-73.9662,
34,Punta Arenas,CL,48.31,few clouds,-53.15,-70.9167,Hotel Hain
35,Sobolevo,RU,22.75,broken clouds,54.4299,31.8996,
46,Severo-Kurilsk,RU,23.16,scattered clouds,50.6789,156.125,Kak Doma
50,Snasa,NO,18.43,broken clouds,64.2457,12.3778,Snåsa Hotell AS
59,Palmer,US,29.91,broken clouds,42.1584,-72.3287,Wedgewood Motel
68,Lang Son,VN,50.0,overcast clouds,21.8333,106.7333,Khai Nga Hotel
70,Bethel,US,29.68,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
86,Torbay,CA,37.58,overcast clouds,47.6666,-52.7314,Gallows Cove
97,Ushuaia,AR,38.86,broken clouds,-54.8,-68.3,Albatross Hotel
98,Vardo,NO,24.78,snow,70.3705,31.1107,Vardø Hotel AS
99,Villablino,ES,38.17,overcast clouds,42.9393,-6.3194,Hotel La Brañina
100,Nipawin,CA,10.44,clear sky,53.3668,-104.0009,Tobin Lake Motel
101,Tasiilaq,GL,21.36,overcast clouds,65.6145,-37.6368,The Red House
106,Cao Bang,VN,48.18,clear sky,22.6667,106.25,khách sạn 88
108,Kodiak,US,36.91,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
110,Grindavik,IS,28.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
111,Hofn,IS,21.76,few clouds,64.2539,-15.2082,Hótel Höfn
112,Boizenburg,DE,45.05,overcast clouds,53.3833,10.7167,Hotel Boizenburger Hof
114,Zhezkazgan,KZ,29.91,light snow,47.8043,67.7144,Hotel Zumrat
121,Minot,US,36.59,overcast clouds,48.2325,-101.2963,Noble Inn
126,Bonavista,CA,37.11,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
127,Gazli,UZ,39.79,broken clouds,40.1333,63.45,
130,Vrangel,RU,15.76,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
131,Herat,AF,37.51,clear sky,34.5,62.0,
132,Sesvete,HR,38.66,clear sky,45.8311,16.1164,Bed & Breakfast Villa Aria
133,Aksu,CN,28.08,few clouds,41.1231,80.2644,Pudong Holiday Hotel
134,Nikolskoye,RU,33.71,overcast clouds,59.7035,30.7861,Tourist House - Sablino
136,Ilulissat,GL,15.82,scattered clouds,69.2167,-51.1,Hotel Arctic
139,Bolivar,US,41.13,clear sky,37.6145,-93.4105,Comfort Inn Bolivar
149,Gezing,AT,33.35,clear sky,47.9178,13.1299,Landhaus Brieger
156,Qasigiannguit,GL,16.05,overcast clouds,68.8193,-51.1922,Hotel Diskobay
163,Xuanwu,CN,31.95,overcast clouds,32.069,118.8138,东方珍珠饭店
164,Galway,IE,39.15,broken clouds,53.2719,-9.0489,Eyre Square Hotel
176,Borinskoye,RU,17.49,broken clouds,52.4569,39.3713,
179,Fairbanks,US,14.23,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
181,Minggang,CN,37.87,broken clouds,32.4586,114.0486,Yindu Hotel
182,Guliston,UZ,43.0,overcast clouds,40.4897,68.7842,Sadafhotel
184,Jamestown,US,20.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
199,Birin,NP,43.41,clear sky,26.8865,88.0718,Sangam hotel and lodge
202,Beisfjord,NO,30.25,light snow,68.3751,17.5988,
210,Prince Albert,CA,15.75,few clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
219,Vasilyevskiy Mokh,RU,25.59,overcast clouds,57.0132,35.919,"Kottedzhnyy Poselok ""Vasil'yevskoye"""
220,Petropavlovsk-Kamchatskiy,RU,18.19,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
223,Narsaq,GL,25.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
229,Homer,US,35.76,scattered clouds,59.6425,-151.5483,Beluga Lake Lodge
230,La Ronge,CA,12.45,few clouds,55.1001,-105.2842,Northland Motor Hotel
233,Longyearbyen,SJ,15.64,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
234,Roald,NO,42.17,broken clouds,62.5833,6.1333,Flem Cabins
235,Klaksvik,FO,34.72,overcast clouds,62.2266,-6.589,Airbnb rooms
239,Asau,RO,28.96,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
248,Argir,FO,32.97,overcast clouds,61.9959,-6.7715,Hotel Hafnia
249,Katsuura,JP,39.22,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
251,Coleraine,GB,44.64,light rain,55.1333,-6.6667,The Lodge Hotel
254,Zhanaozen,KZ,28.17,clear sky,43.3,52.8,K.korabay 28A
256,Pitkyaranta,RU,31.51,snow,61.5734,31.4792,Pitkyaranta hotel
260,Sitka,US,42.69,light rain,57.0531,-135.33,Westmark Sitka
265,Saint-Francois,FR,48.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
277,Quesnel,CA,39.7,broken clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
287,Kearney,US,45.16,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
299,Brora,GB,42.84,overcast clouds,58.0099,-3.8518,"Royal Marine Hotel, Brora"
307,Jinxiang,CN,48.58,overcast clouds,27.4327,120.6062,Wolong Village
313,Dawlatabad,AF,41.18,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
315,Liverpool,GB,46.69,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
316,Jiuquan,CN,24.53,overcast clouds,39.7432,98.5174,Jiuquan Hotel
319,Neath,GB,48.34,overcast clouds,51.6632,-3.8044,The Castle Hotel
321,Sakakah,SA,49.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
331,Havoysund,NO,18.48,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
349,Lasa,IT,29.66,clear sky,46.6166,10.7002,Pension Feldgärtenhof
350,Hvolsvollur,IS,19.87,overcast clouds,63.7533,-20.2243,Hotel Rangá
352,Khromtau,KZ,16.72,broken clouds,50.2503,58.4347,Придорожный сервис Кең Дала
357,Jihlava,CZ,33.08,clear sky,49.3961,15.5912,Grandhotel Garni
359,Preili,LV,29.57,overcast clouds,56.2944,26.7246,Guest House Magones
360,Hamilton,US,28.24,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
362,Paamiut,GL,11.59,light snow,61.994,-49.6678,Pistut
364,Kerteminde,DK,40.32,overcast clouds,55.449,10.6577,Tornøes Hotel
368,Lincoln,US,36.18,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
371,Mikkeli,FI,33.91,overcast clouds,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
375,Robertson,US,43.38,clear sky,36.5167,-86.8667,Hampton Inn Springfield
376,Ochakiv,UA,26.74,scattered clouds,46.6128,31.5498,Briz
383,Gravdal,NO,32.25,light snow,68.1214,13.5031,Skreda Rorbusuiter
387,Poreba,PL,32.76,clear sky,50.4883,19.339,Villa Verde
389,Roma,US,20.12,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
391,Turayf,SA,43.05,clear sky,31.6725,38.6637,Turaif
397,Mayo,US,35.19,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
398,Seoul,KR,27.79,clear sky,37.5683,126.9778,LOTTE Hotel Seoul
403,Frauenfeld,CH,36.25,clear sky,47.5582,8.8985,Primestay Hotel
406,Khandbari,NP,49.93,few clouds,27.3747,87.2039,Sainik Hotel And Lodge
407,Mahdalynivka,UA,27.16,clear sky,48.921,34.9156,"Кафе-Готель ""Колыба"""
409,Dombarovskiy,RU,15.51,light snow,50.7587,59.5386,
411,Berdsk,RU,22.6,overcast clouds,54.7551,83.0967,Mini-Hotel Kalinina 9A
415,Phek,IN,33.75,clear sky,25.6667,94.5,Prayer Centre
416,Ostrovnoy,RU,18.73,overcast clouds,68.0531,39.5131,
424,Shenjiamen,CN,43.39,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
429,Sorland,NO,33.21,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
430,Boralday,KZ,24.66,mist,43.3578,76.8594,"Zhetysu, Too Zhetysu"
431,Derzhavinsk,KZ,19.65,snow,51.1,66.3167,Ooo.khim Baza
437,Kolkwitz,DE,40.98,few clouds,51.75,14.25,Hotel Dorotheenhof
441,Alliance,US,23.16,light snow,40.9153,-81.1059,"Holiday Inn Express & Suites Alliance, an IHG Hotel"
445,Dali,CN,38.34,clear sky,25.7,100.1833,Dali Travelling With Hostel
446,Kovdor,RU,11.59,light snow,67.5662,30.4758,Derevo Zhelaniy
455,Poplar Bluff,US,45.99,clear sky,36.757,-90.3929,Holiday Inn Poplar Bluff
456,Gazojak,TM,40.41,overcast clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
458,Darlowo,PL,40.95,overcast clouds,54.421,16.4107,Hotel Lidia SPA & Wellness
460,Mehamn,NO,22.91,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
466,Kozan,TR,40.1,broken clouds,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
467,Buraydah,SA,46.85,clear sky,26.326,43.975,فندق راحة السلام
477,Oktyabrskoye,RU,28.54,few clouds,43.0645,44.7417,Prolesok Mini-hotel
487,Rognan,NO,31.05,light snow,67.0953,15.3878,Rognan Hotell
491,Otradnoye,RU,33.87,overcast clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
492,Penzance,GB,47.77,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
494,Orahovac,XK,41.92,overcast clouds,42.3994,20.6547,Esra Palace
495,Litovko,RU,10.8,light snow,49.2361,135.1742,
498,Zaysan,KZ,11.48,overcast clouds,47.4667,84.8667,Ерлан үй
499,Sandpoint,US,49.6,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
503,Ayagoz,KZ,15.21,overcast clouds,47.9714,80.4392,Gostinitsa Nur
505,Williams Lake,CA,40.57,broken clouds,52.1415,-122.1445,Stampeder Motel
507,Stornoway,GB,40.93,overcast clouds,58.2093,-6.3865,Caladh Inn
511,Fort-Shevchenko,KZ,34.84,scattered clouds,44.5086,50.263,Oasis hotel Bautino
512,Sterling,US,34.36,light snow,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
516,Korla,CN,28.35,clear sky,41.7597,86.1469,Gulisitan Hotel
520,Malinovoye Ozero,RU,21.97,overcast clouds,51.6753,79.7825,Solonyy Bereg
522,Jiexiu,CN,28.72,scattered clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
523,Quimperle,FR,48.94,broken clouds,47.8667,-3.55,ibis Quimperlé
527,Rantoul,US,17.19,scattered clouds,40.3084,-88.1559,First Heritage Inn
529,Oliver,CA,43.93,scattered clouds,49.1831,-119.5524,Cactus Tree Inn
530,Endicott,US,22.41,scattered clouds,42.0984,-76.0494,Knights Inn Endwell
531,Ketchikan,US,46.38,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
532,Podgorenskiy,RU,12.81,few clouds,50.405,39.6429,Lyudmila
534,Honningsvag,NO,20.16,light snow,70.9821,25.9704,Nordkapp Vandrerhjem
539,Kozlovo,RU,25.38,overcast clouds,56.5167,36.2667,
540,College,US,14.22,light snow,64.8569,-147.8028,Pike's Waterfront Lodge
549,Andijon,UZ,42.08,overcast clouds,40.7821,72.3442,"Hotel ""Bog'ishamol"""
552,Tianpeng,CN,46.87,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
555,Novikovo,RU,14.41,few clouds,51.1537,37.8879,
561,Mulhouse,FR,42.44,clear sky,47.6667,7.4167,Auberge Saint-Laurent - HOTEL RESTAURANT
562,Podgornoye,RU,25.02,clear sky,51.735,39.1496,"O 'Hara's Irish Pub, restaurant, hotel"
564,Lowestoft,GB,49.44,overcast clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
565,Norrtalje,SE,39.13,overcast clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
570,Abu Samrah,SY,48.4,clear sky,35.3029,37.1841,
572,Svetlyy,RU,35.65,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
574,Rock Springs,US,49.44,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
576,Yumen,CN,25.88,overcast clouds,40.2833,97.2,
586,Yamada,JP,31.55,overcast clouds,39.4667,141.95,Iroha-ya Inn
588,Margate,GB,49.96,light rain,51.3813,1.3862,Premier Inn Margate hotel
592,Vila,PT,41.32,light rain,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
593,Komsomolskiy,UZ,35.02,overcast clouds,40.4272,71.7189,Ikathouse
597,Boden,SE,15.8,overcast clouds,65.8252,21.6886,Quality Hotel Bodensia
599,Westport,US,30.78,overcast clouds,41.1415,-73.3579,The Westport Inn
