City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Colares,PT,2022-02-13 22:17:54,38.7992,-9.4469,56.39,76,27,20.0,scattered clouds,0.0,0.0
1,Bredasdorp,ZA,2022-02-13 22:19:25,-34.5322,20.0403,67.32,68,96,9.22,overcast clouds,0.0,0.0
2,Hasaki,JP,2022-02-13 22:19:15,35.7333,140.8333,36.28,81,100,31.65,overcast clouds,0.0,0.0
3,Muyezerskiy,RU,2022-02-13 22:26:56,63.9333,31.65,29.21,96,100,11.41,light snow,0.0,0.0
4,Souillac,MU,2022-02-13 22:19:58,-20.5167,57.5167,81.36,94,75,11.5,broken clouds,0.0,0.0
5,Gushi,CN,2022-02-13 22:26:56,34.6425,109.5843,38.23,73,41,8.48,scattered clouds,0.0,0.0
6,Teya,RU,2022-02-13 22:21:14,60.3778,92.6267,-19.44,100,16,3.49,few clouds,0.0,0.0
7,Busselton,AU,2022-02-13 22:19:34,-33.65,115.3333,62.04,77,0,11.72,clear sky,0.0,0.0
8,Barrow,US,2022-02-13 22:20:01,71.2906,-156.7887,-27.38,68,40,9.22,scattered clouds,0.0,0.0
9,Rikitea,PF,2022-02-13 22:20:03,-23.1203,-134.9692,78.51,71,74,12.59,light rain,0.0,0.0
10,Omaruru,NA,2022-02-13 22:26:56,-21.4333,15.9333,65.89,86,100,7.99,moderate rain,0.0,0.0
11,Bengkulu,ID,2022-02-13 22:19:41,-3.8004,102.2655,75.52,89,99,3.94,light rain,0.0,0.0
12,Avera,US,2022-02-13 22:22:14,33.194,-82.5271,58.87,29,7,17.74,clear sky,0.0,0.0
13,Athens,GR,2022-02-13 22:25:09,37.9795,23.7162,49.37,74,40,5.99,scattered clouds,0.0,0.0
14,Port Blair,IN,2022-02-13 22:21:17,11.6667,92.75,73.44,73,20,2.3,mist,0.0,0.0
15,Padang,ID,2022-02-13 22:22:19,-0.9492,100.3543,76.19,82,99,4.36,overcast clouds,0.0,0.0
16,Cockburn Town,TC,2022-02-13 22:26:57,21.4612,-71.1419,77.86,78,0,15.08,clear sky,0.0,0.0
17,Butaritari,KI,2022-02-13 22:19:55,3.0707,172.7902,81.55,77,60,12.77,light rain,0.0,0.0
18,Avarua,CK,2022-02-13 22:18:31,-21.2078,-159.775,80.65,78,75,3.44,broken clouds,0.0,0.0
19,Punta Alta,AR,2022-02-13 22:26:57,-38.8759,-62.0736,84.51,26,0,9.17,clear sky,0.0,0.0
20,Cidreira,BR,2022-02-13 22:20:15,-30.1811,-50.2056,69.21,93,100,1.88,overcast clouds,0.0,0.0
21,Norman Wells,CA,2022-02-13 22:20:32,65.282,-126.8329,-9.36,64,100,3.44,overcast clouds,0.0,0.0
22,Nioro,GM,2022-02-13 22:23:46,13.35,-15.75,80.02,11,35,7.78,scattered clouds,0.0,0.0
23,Port Alfred,ZA,2022-02-13 22:19:58,-33.5906,26.891,71.4,86,87,11.18,overcast clouds,0.0,0.0
24,Castro,BR,2022-02-13 22:18:26,-24.7911,-50.0119,66.65,92,35,5.44,scattered clouds,0.0,0.0
25,Dingli,MT,2022-02-13 22:26:58,35.8614,14.3822,49.82,93,20,1.14,few clouds,0.0,0.0
26,Antofagasta,CL,2022-02-13 22:22:33,-23.65,-70.4,74.21,59,85,9.28,overcast clouds,0.0,0.0
27,Nanortalik,GL,2022-02-13 22:20:54,60.1432,-45.2371,28.02,82,100,8.72,overcast clouds,0.0,0.0
28,Vaini,TO,2022-02-13 22:18:16,-21.2,-175.2,80.71,75,88,19.06,overcast clouds,0.0,0.0
29,Aswan,EG,2022-02-13 22:26:58,24.0934,32.907,63.7,29,0,6.91,clear sky,0.0,0.0
30,Albany,US,2022-02-13 22:19:59,42.6001,-73.9662,24.75,52,100,1.01,overcast clouds,0.0,0.0
31,Kapaa,US,2022-02-13 22:19:54,22.0752,-159.319,79.12,62,75,13.8,broken clouds,0.0,0.0
32,Paita,PE,2022-02-13 22:20:30,-5.0892,-81.1144,81.16,71,11,14.9,few clouds,0.0,0.0
33,Upata,VE,2022-02-13 22:25:44,8.0086,-62.3989,81.19,66,96,4.59,overcast clouds,0.0,0.0
34,Punta Arenas,CL,2022-02-13 22:20:03,-53.15,-70.9167,48.31,46,20,34.52,few clouds,0.0,0.0
35,Sobolevo,RU,2022-02-13 22:26:59,54.4299,31.8996,22.75,85,66,12.64,broken clouds,0.0,0.0
36,Tupiza,BO,2022-02-13 22:26:59,-21.45,-65.7167,66.51,46,94,6.73,overcast clouds,0.0,0.0
37,Santa Cruz,BO,2022-02-13 22:21:32,-17.8,-63.1667,82.45,51,90,9.22,overcast clouds,0.0,0.0
38,Tuktoyaktuk,CA,2022-02-13 22:20:16,69.4541,-133.0374,-32.8,68,75,3.44,broken clouds,0.0,0.0
39,New Norfolk,AU,2022-02-13 22:19:27,-42.7826,147.0587,62.1,70,94,2.37,overcast clouds,0.0,0.0
40,Najran,SA,2022-02-13 22:19:54,17.4924,44.1277,52.45,44,10,3.11,clear sky,0.0,0.0
41,Staryy Nadym,RU,2022-02-13 22:26:59,65.6118,72.6842,-17.39,98,99,8.63,overcast clouds,0.0,0.0
42,Tura,IN,2022-02-13 22:21:52,25.5198,90.2201,53.65,72,0,4.7,clear sky,0.0,0.0
43,Mandalgovi,MN,2022-02-13 22:22:17,45.7625,106.2708,-7.17,84,46,7.67,scattered clouds,0.0,0.0
44,Bluff,NZ,2022-02-13 22:19:34,-46.6,168.3333,59.81,71,18,2.98,few clouds,0.0,0.0
45,Hermanus,ZA,2022-02-13 22:18:25,-34.4187,19.2345,65.8,83,58,18.05,broken clouds,0.0,0.0
46,Severo-Kurilsk,RU,2022-02-13 22:19:58,50.6789,156.125,23.16,68,26,11.92,scattered clouds,0.0,0.0
47,Hobart,AU,2022-02-13 22:20:19,-42.8794,147.3294,62.46,77,100,10.36,light rain,0.0,0.0
48,Buala,SB,2022-02-13 22:20:11,-8.145,159.5921,80.82,82,96,7.34,light rain,0.0,0.0
49,Barentu,ER,2022-02-13 22:27:00,15.1139,37.5928,66.33,51,100,2.73,overcast clouds,0.0,0.0
50,Snasa,NO,2022-02-13 22:27:00,64.2457,12.3778,18.43,99,83,3.4,broken clouds,0.0,0.0
51,Mataura,NZ,2022-02-13 22:20:05,-46.1927,168.8643,60.48,62,26,2.35,scattered clouds,0.0,0.0
52,Namatanai,PG,2022-02-13 22:20:50,-3.6667,152.4333,81.27,76,100,4.7,overcast clouds,0.0,0.0
53,Kuytun,RU,2022-02-13 22:27:00,54.3419,101.5036,-27.29,100,100,3.15,overcast clouds,0.0,0.0
54,Moura,PT,2022-02-13 22:27:01,38.1401,-7.4486,53.71,86,100,8.05,overcast clouds,0.0,0.0
55,Lebu,CL,2022-02-13 22:16:00,-37.6167,-73.65,63.73,77,72,8.59,broken clouds,0.0,0.0
56,Acarau,BR,2022-02-13 22:20:10,-2.8856,-40.12,79.93,79,10,15.48,clear sky,0.0,0.0
